,Title,Price,Price_Origin,Link,Image,Retailer,TimeStamp,Source
0,"250W LED High Bay Light 35,000LM (140Lm/w) 5000K Daylight (for 18 to 24ft Ceiling, 1000W HID/HPS Replacement) 1-10v dimmer UL Listed HYPERLITE High Bay LED Light for Factory Warehouse Church",152.99,169.99,https://www.amazon.ca/dp/B07WLVG6RX/,https://m.media-amazon.com/images/I/612N0b-IwbL._AC_UL320_.jpg,Amazon,2021-10-23T16:21:02,https://www.amazon.ca/s?k=lightning+deals
1,Women's High Waist Cotton Underwear Soft Breathable Panties Stretch Briefs 5-Pack,30.99,50.00,https://www.amazon.ca/dp/B07XCXSS3L/,https://m.media-amazon.com/images/I/71TeC6AeTpL._AC_UL320_.jpg,Amazon,2021-10-23T16:21:02,https://www.amazon.ca/s?k=lightning+deals
2,"Sengled Smart LED Soft White A19 Starter Kit, 2700K 60W Equivalent, 2 Light Bulbs & Hub, Works with Alexa & Google Assistant",21.00,0,https://www.amazon.ca/dp/B01N2TVDYQ/,https://m.media-amazon.com/images/I/51GJJQiGLLL._AC_UL320_.jpg,Amazon,2021-10-23T16:21:02,https://www.amazon.ca/s?k=lightning+deals
3,M GOO Kim Women's Cotton Underwear Lace Hipster Panties Briefs Assorted,28.99,0,https://www.amazon.ca/dp/B08DK68NMQ/,https://m.media-amazon.com/images/I/61-OFBGsBNL._AC_UL320_.jpg,Amazon,2021-10-23T16:21:02,https://www.amazon.ca/s?k=lightning+deals
4,"USB C to Lightning New Nylon Cable MFi Certified, Swadaws 3-Pack 6.6FT Fast Charging Cable Power Delivery Lightning to Type C Charger Cord for iPhone 13 Pro Max/12 Pro/X/XS/XR/8 Plus/iPad (Black Gray)",25.99,0,https://www.amazon.ca/dp/B09CKRC3W1/,https://m.media-amazon.com/images/I/81eUscxyxCL._AC_UL320_.jpg,Amazon,2021-10-23T16:21:02,https://www.amazon.ca/s?k=lightning+deals
5,"Monster Wireless Earbuds, True Wireless Earbuds,Bluetooth 5.0 in-Ear Super Fast Charge,Built-in Mics for Clear Calls, USB-C Quick Charge, 24-Hour Playtime, Secure Fit for Sports Black",99.99,0,https://www.amazon.ca/dp/B096SBPYRS/,https://m.media-amazon.com/images/I/61Ok-N1ts2L._AC_UL320_.jpg,Amazon,2021-10-23T16:21:02,https://www.amazon.ca/s?k=lightning+deals
6,Women's Printed Shawl Wrap Fashionable Open Front Poncho Cape,40.99,0,https://www.amazon.ca/dp/B07DTBY5GX/,https://m.media-amazon.com/images/I/81O21CY+O1L._AC_UL320_.jpg,Amazon,2021-10-23T16:21:02,https://www.amazon.ca/s?k=lightning+deals
7,Men's W96H-1BV Classic Sport Watch,30.21,0,https://www.amazon.ca/dp/B000AQVSA0/,https://m.media-amazon.com/images/I/91R8vHW8sDL._AC_UL320_.jpg,Amazon,2021-10-23T16:21:02,https://www.amazon.ca/s?k=lightning+deals
8,Womens Women's Totally Shaping Pull on Skinny Jeans,39.99,0,https://www.amazon.ca/dp/B077R4H48C/,https://m.media-amazon.com/images/I/51LRdAQLQfL._AC_UL320_.jpg,Amazon,2021-10-23T16:21:02,https://www.amazon.ca/s?k=lightning+deals
9,"Tower Power Bar with Surge Protector, Flat Plug Extension Cord Indoor 6.5 Feet, 11 Widely Spaced AC Outlets, 3 USB Ports, TESSAN Power Strip Multi Plug Desk Charging Station, Home Office Accessories",35.99,0,https://www.amazon.ca/dp/B08LR6SGHJ/,https://m.media-amazon.com/images/I/61R4LAuy23S._AC_UL320_.jpg,Amazon,2021-10-23T16:21:02,https://www.amazon.ca/s?k=lightning+deals
